C:\Neeraj\backup\tech\systematicinv\backtrader\PycharmProjects\venv\Scripts\python.exe C:\Neeraj\backup\tech\systematicinv\surajchand_bt\btcp.py

=== SUMMARY ===
          symbol: QQQ.US
           start: 1995-01-01
             end: 2025-12-29
     expiry_mode: monthly_3rd_friday
      vol_source: vxn_then_hv
 starting_equity: 8,000.000000
   ending_equity: 46,607.518973
bh_ending_equity: 114,728.410004
            CAGR:     6.80%
         bh_CAGR:    10.44%
          Sharpe: 0.404295
       bh_Sharpe: 0.411513
    max_drawdown:   -46.65%
 bh_max_drawdown:   -82.96%
          trades: 57
            wins: 41
          losses: 16
        win_rate:    71.93%
   profit_factor: 3.774331

=== TRADES ===
entry_date  exit_date     expiry   K  contracts  entry_price  exit_price  holding_days        reason  return_%    pnl_$
1999-05-04 1999-10-11 2000-05-19  30          1        17.03       25.78           160 profit_target     51.37   874.81
1999-10-13 1999-11-12 2000-10-20  39          1        15.87       24.28            30 profit_target     53.04   841.46
2000-01-06 2000-01-19 2001-01-19  45          1        27.51       41.27            13 profit_target     50.00  1375.71
2000-01-28 2000-03-06 2001-02-16  42          1        36.72       55.60            38 profit_target     51.44  1888.77
2000-03-15 2000-09-11 2001-03-16  59          1        34.04       22.09           180     time_exit    -35.11 -1195.13
2000-09-11 2001-03-12 2001-09-21  58          1        25.63        2.11           182     time_exit    -91.78 -2352.34
2001-03-13 2001-09-10 2002-03-15  21          1        19.29        9.41           181     time_exit    -51.25  -988.80
2001-09-10 2002-03-11 2002-09-20  17          1        13.57       15.91           182     time_exit     17.29   234.55
2002-03-14 2002-09-10 2003-03-21  21          1        11.44        2.62           180     time_exit    -77.13  -882.61
2002-09-10 2003-03-10 2003-09-19  12          1         8.87        8.50           181     time_exit     -4.08   -36.21
2003-03-10 2003-05-30 2004-03-19  13          1         8.00       12.38            81 profit_target     54.75   438.11
2003-06-24 2003-09-18 2004-07-16  18          1         7.73       11.71            86 profit_target     51.54   398.38
2003-09-24 2004-03-22 2004-10-15  20          1         8.84        9.29           180     time_exit      5.15    45.53
2004-03-22 2004-09-20 2005-04-15  21          1         8.74        9.31           182     time_exit      6.49    56.68
2004-09-27 2004-11-17 2005-10-21  23          1         7.14       10.73            51 profit_target     50.23   358.60
2005-01-04 2005-07-05 2006-01-20  27          1         7.36        5.38           182     time_exit    -26.94  -198.37
2005-07-05 2005-11-11 2006-07-21  28          1         5.12        7.74           129 profit_target     51.21   261.99
2005-12-19 2006-06-19 2007-01-19  31          1         5.88        3.70           182     time_exit    -37.10  -218.16
2006-06-19 2006-11-15 2007-07-20  26          1         8.48       12.84           149 profit_target     51.38   435.86
2006-12-20 2007-06-18 2007-12-21  33          1         6.62        9.07           180     time_exit     37.14   245.74
2007-06-26 2007-10-08 2008-07-18  34          1         8.64       13.06           104 profit_target     51.20   442.39
2007-11-08 2008-05-06 2008-11-21  33          1        13.62        9.82           180     time_exit    -27.91  -379.99
2008-06-10 2008-12-08 2009-06-19  32          1        11.47        2.39           181     time_exit    -79.14  -907.39
