entry_rsi_20 | 1999-04-22 ENTRY: S=46.2895 K=32.0 exp=2000-04-20 Tpx=$25.32 px=$16.88 contracts=1 cost=$1,688.86 rsi=57.22546642071409 sigma=0.3975790287422722
entry_rsi_30 | 1999-05-04 ENTRY: S=44.59 K=30.0 exp=2000-05-19 Tpx=$25.55 px=$17.03 contracts=1 cost=$1,703.65 rsi=47.51145845272619 sigma=0.39643225059821785
entry_rsi_30 | 1999-10-11 Exit: S=54.8169 K=30.0 exp=2000-05-19 hit_profit=True Tpx=$25.55 px=$25.78  contracts=1 pos_value=$2,577.81 qquity=$8,874.16 rsi=65.3142315152052 sigma=0.27202495135614657 holding_days=160
entry_rsi_30 | 1999-10-13 ENTRY: S=51.9838 K=39.0 exp=2000-10-20 Tpx=$23.80 px=$15.87 contracts=1 cost=$1,587.24 rsi=48.66443898903184 sigma=0.2917953094714415
entry_rsi_20 | 1999-10-19 Exit: S=50.396 K=32.0 exp=2000-04-20 hit_profit=False Tpx=$25.32 px=$19.28  contracts=1 pos_value=$1,928.40 qquity=$8,239.55 rsi=42.322202384804505 sigma=0.2761560809964642 holding_days=180
entry_rsi_20 | 1999-10-19 ENTRY: S=50.396 K=39.0 exp=2000-10-20 Tpx=$21.39 px=$14.26 contracts=1 cost=$1,426.55 rsi=42.322202384804505 sigma=0.2761560809964642
entry_rsi_20 | 1999-11-08 Exit: S=58.9773 K=39.0 exp=2000-10-20 hit_profit=True Tpx=$21.39 px=$22.14  contracts=1 pos_value=$2,214.23 qquity=$9,026.58 rsi=74.61760983700715 sigma=0.26911534288924105 holding_days=20
entry_rsi_30 | 1999-11-12 Exit: S=61.205 K=39.0 exp=2000-10-20 hit_profit=True Tpx=$23.80 px=$24.28  contracts=1 pos_value=$2,428.05 qquity=$9,714.32 rsi=78.1893279922291 sigma=0.2643230852508096 holding_days=30
entry_rsi_20 | 1999-11-30 ENTRY: S=62.3184 K=48.0 exp=2000-12-15 Tpx=$26.95 px=$17.97 contracts=1 cost=$1,797.27 rsi=59.87206853751338 sigma=0.26937055373968655
entry_rsi_20 | 1999-12-21 Exit: S=75.8334 K=48.0 exp=2000-12-15 hit_profit=True Tpx=$26.95 px=$30.81  contracts=1 pos_value=$3,081.22 qquity=$10,309.87 rsi=81.53951327589085 sigma=0.28789940039769024 holding_days=21
entry_rsi_20 | 2000-01-04 ENTRY: S=74.8204 K=52.0 exp=2001-01-19 Tpx=$41.47 px=$27.65 contracts=1 cost=$2,765.31 rsi=58.65908365658321 sigma=0.3855314394773757
entry_rsi_30 | 2000-01-06 ENTRY: S=67.911 K=45.0 exp=2001-01-19 Tpx=$41.27 px=$27.51 contracts=1 cost=$2,752.05 rsi=42.57958811437547 sigma=0.44889104728325896
entry_rsi_30 | 2000-01-19 Exit: S=81.3889 K=45.0 exp=2001-01-19 hit_profit=True Tpx=$41.27 px=$41.27  contracts=1 pos_value=$4,127.11 qquity=$11,088.72 rsi=62.43089907651962 sigma=0.5835983674451686 holding_days=13
entry_rsi_30 | 2000-01-28 ENTRY: S=72.9132 K=42.0 exp=2001-02-16 Tpx=$55.08 px=$36.72 contracts=1 cost=$3,672.32 rsi=45.571273031040015 sigma=0.6359616344084733
entry_rsi_20 | 2000-02-08 Exit: S=87.0091 K=52.0 exp=2001-01-19 hit_profit=True Tpx=$41.47 px=$41.92  contracts=1 pos_value=$4,191.91 qquity=$11,735.83 rsi=66.27272584928828 sigma=0.6472058300740338 holding_days=35
